Descriptor,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
Country_Bali,complex,Country_Bali,strawberry,typica,Process_Natural,bourbon,Roast_Light,sudan.rume,gesha,sl28
Country_Brazil,yellow.bourbon,red.catuai,chocolate.fudge,cinnamon,honeycomb,Process_Natural,sweet,clove,fig,molasses
"Country_Brazil, Colombia",molasses,dark.chocolate,castillo,colombia,catuai,caturra,Roast_Medium,Process_Washed,sudan.rume,gesha
"Country_Brazil, Colombia, Honduras",heavy,black.cherry,Process_NA,caramel,chocolate,Roast_NA,sudan.rume,gesha,sl28,sl34
"Country_Brazil, Ethiopia",raspberry,Process_NA,caramel,Roast_Medium,sudan.rume,gesha,sl28,sl34,castillo,sidra
Country_Burundi,red.bourbon,black.tea,kiwi,lavender,spice,Roast_Light-Medium,currant,bourbon,dried.fruit,honey
Country_Colombia,caturra,colombia,castillo,caramel,Process_Washed,cranberry,cherry,typica,Roast_Medium,sudan.rume
"Country_Colombia, Ethiopia, Kenya",syrup,"Country_Colombia, Ethiopia, Kenya",fruity,milk.chocolate,Roast_Light-Medium,Process_Washed,sudan.rume,gesha,sl28,sl34
"Country_Colombia, Honduras, Guatemala","Country_Colombia, Honduras, Guatemala",various,fruity,milk.chocolate,Roast_Medium,Process_Washed,sudan.rume,gesha,sl28,sl34
Country_Congo,Country_Congo,pineapple,sweet,bourbon,Roast_Medium,Process_Washed,sudan.rume,gesha,sl28,sl34
Country_Costa Rica,red.grape,candied.sweetness,white.cherry,maple,Process_Honey,bergamot,catuai,jasmine,gesha,vanilla
Country_Ecuador,sidra,tropical.fruits,berry,dried.cherry,kiwi,hazelnut,Roast_Light,cocoa,typica,Process_Washed
Country_El Salvador,pacamara,nutty,baker.s.chocolate,plum,raspberry,cola,tangerine,brown.sugar,Process_Natural,bourbon
Country_Ethiopia,heirloom,citrus,floral,Roast_Light,Process_Natural,gesha.1931,landraces,illubabor.forest,watermelon,nectarine
"Country_Ethiopia, Uganda",various,raisin,Process_Various,blueberry,lemon,Roast_Light,sudan.rume,gesha,sl28,sl34
"Country_Ethiopia,Sumatra, Peru",various,molasses,Roast_Medium-Dark,raspberry,Process_NA,chocolate,sudan.rume,gesha,sl28,sl34
Country_Guatemala,java,butterscotch,gesha,Process_Washed,peach,honey,pineapple,lavender,clove,clementine
Country_Honduras,pacas,lychee,Roast_Dark,hazelnut,blackberry,orange,chocolate,Process_Washed,Roast_Light,sudan.rume
Country_Kenya,sl34,Country_Kenya,ruiru.11,currant,baitan,jammy,red.berries,tomato,round,apricot
Country_Mexico,typica,marsellesa,shortbread.cookie,red.wine,vanilla,raw.sugar,bourbon,Roast_Light-Medium,Process_Washed,dark.chocolate
Country_NA,Process_NA,rich,full.bodied,orange.peel,ripe.fruit,berry.fruit,chocolate,Roast_Medium,almond,fruity
Country_Nicaragua,Country_Nicaragua,vanilla,fruity,citrus,Roast_Light,Process_Washed,sudan.rume,gesha,sl28,sl34
Country_Panama,mango,jasmine,dark.cherry,mulled.wine,catuai,gesha,Process_Natural,Roast_Light,heavy,orange
Country_Papua New Guinea,mundo.novo,fudge,Country_Papua New Guinea,black.cherry,nutty,typica,Roast_Medium,Process_Washed,sudan.rume,gesha
Country_Peru,sparkling.cider,almond,typica,papaya,raw.sugar,milk.chocolate,bourbon,raisin,caturra,Process_Washed
Country_Rwanda,custard,figs,silky,fig,red.bourbon,grape,orange,Roast_NA,Process_Natural,bourbon
Country_Sumatra,grapefruit,Process_Honey,plum,cocoa,Roast_Medium,sudan.rume,gesha,sl28,sl34,castillo
"Country_Uganda, Papua New Guinea, Sumatra","Country_Uganda, Papua New Guinea, Sumatra",graham.cracker,Roast_Medium-Dark,Process_NA,cocoa,sudan.rume,gesha,sl28,sl34,castillo
Country_Various,Process_Various,fruity,chocolate,Roast_NA,sudan.rume,gesha,sl28,sl34,castillo,sidra
