Descriptor,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
blackberry,pacas,lychee,pomegranate,lemongrass,jammy,red.wine,honey,lavender,grapefruit,cranberry
caramel,Process_NA,Country_Colombia,caturra,castillo,colombia,honeydew,smooth,wild.berries,cocoa.butter,fruit.preserves
cherry,Process_Natural,sudan.rume,catuai..red.,mango,brown.apple,sugar,maple,wild.berries,cocoa.butter,Country_Panama
chocolate,Roast_Dark,Process_Various,rich,full.bodied,dark.cherry,fruit.preserves,Country_Brazil/Colombia/Honduras,Country_Ethiopia/Sumatra/Peru,Country_Panama,Country_South America/Africa
citrus,Country_Ethiopia,spice,fruity,vanilla,Roast_Light,gesha.1931,marsellesa,illubabor.forest,maracaturra,tropical.fruit
cocoa,dates,pecans,honeycomb,toasted.marshmallow,Country_Uganda/Papua New Guinea/Sumatra,Country_Guatemala,yellow.bourbon,dried.cherry,Country_Ecuador,bourbon
floral,pink.bourbon,lime,juicy,pomelo,dark.honey,Process_Anaerobic Washed,Country_Ethiopia,baitan,citrus,heirloom
fruity,gesha.1931,maracaturra,citrus,syrup,Country_Colombia/Ethiopia/Kenya,Country_Nicaragua,Country_South America/Africa,Process_Pulped Natural/Honey,vanilla,spice
honey,clementine,orange.blossom,fresh.butter,green.apple,blackberry,Country_Guatemala,lavender,red.currant,bourbon,Roast_Light
lemon,villalobos,hops,golden.raisin,semi.sweet.chocolate,"Country_Ethiopia/Uganda
",yellow.bourbon,cranberry,apple,clove,pacamara
orange,sudan.rume,pacas,lychee,custard,dates,pecans,pear,honeysuckle,Country_Honduras,Country_Rwanda
peach,java,hyacinth,pear,earl.grey,Country_Guatemala,pineapple,raisin,clove,heirloom,Roast_Light
raspberry,cola,baker.s.chocolate,Country_Brazil/Ethiopia,Country_Ethiopia/Sumatra/Peru,Process_Natural,Roast_Medium-Dark,Roast_Light-Medium,sl28,sl34,Country_El Salvador
strawberry,honeydew,yuzu,Process_Lactic Acid,Process_Natural,heavy,grapefruit,heirloom,jasmine,caramel,grape
vanilla,gesha.1931,marsellesa,maracaturra,citrus,red.grape,candied.sweetness,butterscotch,Country_Nicaragua,fruity,catuai
