Descriptor,Sim_1,Sim_2,Sim_3
sl28,sl34,Country_Kenya,ruiru.11
sl34,sl34,Country_Kenya,ruiru.11
sudan.rume,blood.orange,honeysuckle,cherry
gesha,hyacinth,white.peach,tropical.mango
sidra,tropical.fruits,kiwi,red.berries
gesha.1931,sweet.vanilla,ripe.fruit,citrus
heirloom,Country_Ethiopia,citrus,strawberry
castillo,caturra,colombia,almond.toffee
catuai,vanilla,red.grape,candied.sweetness
pacamara,Country_El Salvador,key.lime.pie,fig.preserves
landraces,watermelon,nectarine,honeysuckle
pacas,lychee,orange.blossom,Country_Honduras
gesha.m2,white.cherry,bergamot,jasmine
colombia,Country_Colombia,castillo,almond.toffee
red.bourbon,custard,black.tea,semi.sweet.chocolate
typica,Country_Mexico,Country_Peru,Process_Washed
bourbon,Process_Washed,typica,Roast_Light-Medium
caturra,Country_Colombia,castillo,Process_Washed
villalobos,meyer.lemon,cranberry,dark.chocolate
marsellesa,sweet.vanilla,Country_Mexico,citrus
ruiru.11,baitan,sl28,sl34
illubabor.forest,tropical.fruit,brown.sugar,citrus
maracaturra,Country_Nicaragua,sweet.vanilla,ripe.fruit
red.catuai,chocolate.fudge,cinnamon,molasses
catimor,lime,castillo,milk.chocolate
catuai..red.,maple,lemon.zest,Country_Costa Rica
various,golden.raisin,winey.blueberry,toffee
baitan,ruiru.11,juicy,tomato
blend,dark.cherry,syrup,toasted.marshmallow
pink.bourbon,sweet.pomelo,dark.honey,floral
java,raisin,clove,peach
yellow.bourbon,honeycomb,fig,clove
arusha,mundo.novo,fudge,walnut
mundo.novo,mundo.novo,fudge,walnut
blueberry,wild.berries,cocoa.butter,black.currant
black.currant,sl28,sl34,Country_Kenya
cherry,sudan.rume,catuai..red.,blood.orange
honeysuckle,sudan.rume,landraces,blood.orange
blood.orange,blood.orange,honeysuckle,cherry
pineapple,hyacinth,white.peach,mixed.berry
hyacinth,white.peach,pineapple,gesha
white.peach,white.peach,pineapple,gesha
tropical.mango,rainer.cherry,and.jasmine,gesha
rainer.cherry,rainer.cherry,and.jasmine,gesha
and.jasmine,rainer.cherry,and.jasmine,gesha
kiwi,sidra,tropical.fruits,red.berries
tropical.fruits,tropical.fruits,kiwi,red.berries
red.berries,sidra,tropical.fruits,tomato
ripe.fruit,spice,citrus,sweet.vanilla
citrus,sweet.vanilla,ripe.fruit,Country_Ethiopia
sweet.vanilla,gesha.1931,marsellesa,maracaturra
honey,clementine,fresh.butter,green.apple
hazelnut,dried.cherry,Country_Ecuador,blueberry
blackberry,pacas,clover.honey,lychee
lavender,clover.honey,kiwi,gesha
clover.honey,lavender,gesha,blackberry
honeydew,Process_Lactic Acid,strawberry,castillo
strawberry,honeydew,yuzu,Process_Lactic Acid
caramel,Process_NA,Country_Colombia,caturra
grape,heavy,clementine,strawberry
heavy,Country_Brazil/Colombia/Honduras,black.cherry,grape
dark.chocolate,villalobos,key.lime.pie,meyer.lemon
almond,key.lime.pie,sparkling.cider,raw.sugar
key.lime.pie,almond,pacamara,dark.chocolate
spice,Process_Pulped Natural/Honey,ripe.fruit,citrus
red.grape,candied.sweetness,vanilla,Country_Costa Rica
vanilla,red.grape,candied.sweetness,butterscotch
candied.sweetness,candied.sweetness,vanilla,Country_Costa Rica
watermelon,watermelon,nectarine,honeysuckle
nectarine,watermelon,nectarine,honeysuckle
sweet.lemon,hops,heirloom,Country_Ethiopia
hops,hops,heirloom,Country_Ethiopia
sugary.fruit,raw.chocolate,Country_South America/Africa,Process_Various
raw.chocolate,raw.chocolate,Country_South America/Africa,Process_Various
lychee,lychee,orange.blossom,Country_Honduras
orange.blossom,pacas,lychee,fresh.butter
jasmine,gesha.m2,white.cherry,bergamot
white.cherry,white.cherry,bergamot,jasmine
bergamot,white.cherry,bergamot,jasmine
overripe.strawberry,red.grapefruit,colombia,caramel
red.grapefruit,red.grapefruit,colombia,caramel
orange,custard,pear,fig
