"","sudan.rume","gesha","sl28","sl34","castillo","sidra","gesha.1931","heirloom","catuai","bourbon","typica","caturra","colombia","villalobos","pacamara","landraces","pacas","red.bourbon","red.catuai","pink.bourbon","catimor","blend","illubabor.forest","various","java","ruiru.11","baitan","marsellesa","maracaturra","arusha","mundo.novo","yellow.bourbon","cherry","honeysuckle","orange","pineapple","floral","peach","blueberry","currant","mango","jasmine","honeydew","strawberry","caramel","kiwi","tropical.fruits","berry","dried.fruit","citrus","vanilla","honey","hazelnut","blackberry","lavender","grape","heavy","cantaloupe","complex","cocoa","dates","pecans","grapefruit","lemon","cranberry","dark.chocolate","red.grape","candied.sweetness","white.cherry","bergamot","fig","plum","almond","lime","spice","watermelon","nectarine","hops","lychee","shortbread.cookie","chocolate","custard","fruity","chocolate.fudge","molasses","cinnamon","sweet","black.tea","rich","full.bodied","milk.chocolate","orange.peel","pomelo","dark.honey","smooth","pomegranate","lemongrass","papaya","pear","apple","sugar.cane","syrup","mixed.berry","maple","raspberry","cola","baker.s.chocolate","nutty","tangerine","brown.sugar","yuzu","tropical.fruit","earl.grey","graham.cracker","raisin","clove","jammy","red.berries","tomato","round","apricot","juicy","nougat","red.wine","raw.sugar","dark.cherry","fudge","black.cherry","sparkling.cider","figs","silky","ripe.fruit","berry.fruit","honeycomb","wild.berries","clementine","toffee","dried.cherry","butterscotch","toasted.marshmallow","mulled.wine","Country_Bali","Country_Brazil","Country_Brazil, Colombia","Country_Brazil, Colombia, Honduras","Country_Brazil, Ethiopia","Country_Burundi","Country_Colombia","Country_Colombia, Ethiopia, Kenya","Country_Colombia, Honduras, Guatemala","Country_Congo","Country_Costa Rica","Country_Ecuador","Country_El Salvador","Country_Ethiopia","Country_Ethiopia, Uganda","Country_Ethiopia,Sumatra, Peru","Country_Guatemala","Country_Honduras","Country_Kenya","Country_Mexico","Country_Nicaragua","Country_Panama","Country_Papua New Guinea","Country_Peru","Country_Rwanda","Country_Sumatra","Country_Uganda, Papua New Guinea, Sumatra","Country_Various","Country_NA","Process_Anaerobic Washed","Process_Honey","Process_Lactic Acid","Process_Natural","Process_Pulped Natural/Honey","Process_Various","Process_Washed","Process_NA","Roast_Dark","Roast_Light","Roast_Light-Medium","Roast_Medium","Roast_Medium-Dark","Roast_NA"
"sudan.rume",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0.707106781186547,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229415733870562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218217890235992,0,0,0,0,0,0,0.192450089729875,0,0,0
"gesha",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119522860933439,0,0,0.316227766016838,0.182574185835055,0.338061701891407,0,0,0.447213595499958,0.670820393249937,0,0,0,0,0,0,0,0,0,0.169030850945703,0,0.158113883008419,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182574185835055,0,0,0,0,0,0,0,0,0,0,0,0.182574185835055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258198889747161,0,0,0,0,0,0.338061701891407,0,0,0,0,0.365148371670111,0,0,0,0,0,0,0,0,0.223606797749979,0,0.0975900072948533,0,0,0.16151457061745,0,0,0.338061701891407,0,0,0,0.1
"sl28",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612372435695794,0.5,0,0,0,0,0,0.0944911182523068,0,0,0,0.144337567297406,0,0.176776695296637,0.530330085889911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0,0,0,0,0.25,0,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340502612303499,0,0,0.200445931434318,0.272165526975909,0,0,0.0790569415042095
"sl34",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612372435695794,0.5,0,0,0,0,0,0.0944911182523068,0,0,0,0.144337567297406,0,0.176776695296637,0.530330085889911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0,0,0,0,0.25,0,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.204124145231931,0,0,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340502612303499,0,0,0.200445931434318,0.272165526975909,0,0,0.0790569415042095
"castillo",0,0,0,0,1,0,0,0,0.111803398874989,0.147441956154897,0.176776695296637,0.527644853011086,0.5,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0,0,0,0,0.0944911182523068,0,0.117851130197758,0,0,0,0,0,0,0,0.353553390593274,0.144337567297406,0.306186217847897,0,0,0,0.288675134594813,0,0,0.133630620956212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158113883008419,0,0,0,0,0,0,0.267261241912424,0.158113883008419,0,0,0,0,0,0,0.102062072615966,0,0.125,0,0.204124145231931,0,0,0,0,0,0.111803398874989,0,0,0,0.353553390593274,0,0,0,0,0.144337567297406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0.486664263392288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117851130197758,0,0,0.353553390593274,0,0,0,0.297939785765562,0,0,0.0668153104781061,0.136082763487954,0.138675049056307,0.158113883008419,0.158113883008419
"sidra",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0.188982236504614,0,0,0,0
"gesha.1931",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0.333333333333333,0.377964473009227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218217890235992,0,0,0,0,0,0.188982236504614,0,0,0,0
"heirloom",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258198889747161,0.239045721866879,0.158113883008419,0,0,0.158113883008419,0,0.258198889747161,0,0,0,0,0.129099444873581,0.316227766016838,0.119522860933439,0.119522860933439,0.158113883008419,0,0,0,0,0,0,0,0,0,0,0.111803398874989,0,0,0,0,0,0,0,0,0,0.141421356237309,0.223606797749979,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0.258198889747161,0,0,0,0,0,0,0,0,0,0,0,0.129099444873581,0,0,0,0,0.223606797749979,0,0,0,0,0,0.316227766016838,0,0.316227766016838,0.182574185835055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845154254728517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276026223736942,0.316227766016838,0,0.19034674690672,0,0,0.179284291400159,0.121716123890037,0.124034734589208,0.141421356237309,0.141421356237309
"catuai",0,0,0,0,0.111803398874989,0,0,0,1,0.197814142018736,0.158113883008419,0.269679944985297,0.111803398874989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253546276418555,0,0.105409255338946,0,0,0,0,0,0,0,0,0.129099444873581,0,0,0,0,0,0,0.239045721866879,0,0.158113883008419,0,0,0.158113883008419,0.223606797749979,0,0,0,0,0,0,0.223606797749979,0,0.282842712474619,0.316227766016838,0.316227766016838,0,0,0,0,0.119522860933439,0,0,0,0,0,0,0,0.0912870929175277,0,0.111803398874989,0,0.182574185835055,0,0.223606797749979,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0.158113883008419,0,0.223606797749979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0.316227766016838,0,0.158113883008419,0.316227766016838,0,0,0,0,0,0,0,0.365148371670111,0,0.119522860933439,0,0,0,0.119522860933439,0,0,0,0,0.387298334620742,0,0.182574185835055,0,0,0,0,0,0,0.158113883008419,0,0.276026223736942,0,0,0.19034674690672,0,0,0.179284291400159,0.0608580619450184,0.310086836473021,0,0.0707106781186547
"bourbon",0,0,0,0,0.147441956154897,0,0,0,0.197814142018736,1,0.469157431628418,0.35564337957951,0.0737209780774486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208514414057075,0,0,0,0,0.111455642515071,0,0.208514414057075,0.147441956154897,0,0,0,0.104257207028537,0,0,0,0.0851256530758749,0.120385853085769,0,0,0,0.17025130615175,0.139009609371383,0.23643312187173,0.31524416249564,0.104257207028537,0.147441956154897,0,0.104257207028537,0,0.208514414057075,0.208514414057075,0.180578779628654,0.208514414057075,0.208514414057075,0,0.0737209780774486,0,0.0932504808240314,0,0,0,0,0,0.0788110406239101,0.15762208124782,0,0.147441956154897,0,0,0,0,0.208514414057075,0.120385853085769,0,0.0737209780774486,0,0,0,0.147441956154897,0.0851256530758749,0.208514414057075,0.208514414057075,0.263752189358315,0,0,0,0.208514414057075,0,0,0.294883912309794,0,0.0851256530758749,0,0,0.208514414057075,0,0.0737209780774486,0.147441956154897,0.208514414057075,0.208514414057075,0.147441956154897,0.147441956154897,0,0,0,0,0.120385853085769,0,0,0,0,0,0,0,0,0.208514414057075,0.147441956154897,0,0,0,0.208514414057075,0.208514414057075,0.208514414057075,0,0,0,0,0,0,0.208514414057075,0.208514414057075,0,0,0.208514414057075,0,0,0,0,0.208514414057075,0.143509461970482,0,0,0.208514414057075,0,0.147441956154897,0.23643312187173,0,0,0,0.23643312187173,0,0,0.312771621085612,0,0,0,0.361157559257308,0.147441956154897,0,0,0,0.139009609371383,0,0,0,0.182006302077316,0,0.120385853085769,0.451839341104925,0,0.147441956154897,0.0788110406239101,0.401286176952564,0.286251287038336,0.0932504808240314,0.0932504808240314
